,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,source,Iteration
66,CI-7858,435107,Clarify,ssanz,13/Dec/22 12:22 PM,20/Dec/22 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
0,CI-9107,494547,Review,kgostynska,17/Aug/23 3:24 PM,24/Aug/23 12:00 AM,,Continental,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
1,CI-9106,494487,Review,nsanchezruiz,17/Aug/23 12:13 PM,17/Aug/23 12:00 AM,,OBB,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
2,CI-9105,494480,Review,nsanchezruiz,17/Aug/23 12:01 PM,24/Aug/23 12:00 AM,,OBB,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
3,CI-9104,494447,Review,alejandro.ruizrobles,17/Aug/23 10:32 AM,25/Aug/23 12:00 AM,,Numiga,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
4,CI-9103,494402,Import in Production,alejandro.ruizrobles,17/Aug/23 8:50 AM,24/Aug/23 12:00 AM,,Numiga,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
5,CI-9099,494283,Review,mmaciejczyk,16/Aug/23 11:47 AM,23/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
6,CI-9096,494228,Review,ssanz,16/Aug/23 9:40 AM,23/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
7,CI-9095,494205,Review,yutaka.yasumi,16/Aug/23 7:15 AM,31/Aug/23 12:00 AM,,msg systems,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
8,CI-9094,494061,Communicate,askarja,14/Aug/23 10:14 PM,18/Aug/23 12:00 AM,,Vaillant,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
9,CI-9093,493948,Review,askarja,14/Aug/23 1:25 PM,21/Aug/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
10,CI-9091,493729,Review,ssanz,11/Aug/23 2:56 PM,18/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
11,CI-9086,493538,Communicate,askarja,11/Aug/23 2:29 AM,18/Aug/23 12:00 AM,,TeamBank AG,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
12,CI-9083,493453,Communicate,alejandro.ruizrobles,10/Aug/23 3:00 PM,17/Aug/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
13,CI-9078,493125,Review,mmaciejczyk,09/Aug/23 11:44 AM,16/Aug/23 12:00 AM,,MAN,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
14,CI-9077,492991,Review,askarja,08/Aug/23 8:48 PM,15/Aug/23 12:00 AM,,msg systems,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
15,CI-9072,492864,Review,nsanchezruiz,08/Aug/23 12:58 PM,15/Aug/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
16,CI-9066,492556,Review,nsanchezruiz,07/Aug/23 8:57 AM,14/Aug/23 12:00 AM,,Egis,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
17,CI-9065,492446,Verify,kgostynska,04/Aug/23 4:49 PM,11/Aug/23 12:00 AM,,Traton SE,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
18,CI-9058,492168,Review,askarja,03/Aug/23 7:11 PM,10/Aug/23 12:00 AM,,Vaillant,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
19,CI-9055,492104,Review,alejandro.ruizrobles,03/Aug/23 3:12 PM,18/Aug/23 12:00 AM,,Numiga,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
20,CI-9051,491809,Review,alejandro.ruizrobles,02/Aug/23 1:04 PM,11/Aug/23 12:00 AM,,Numiga,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
21,CI-9050,491795,Configure,alejandro.ruizrobles,02/Aug/23 12:17 PM,11/Aug/23 12:00 AM,,Numiga,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
22,CI-9044,491653,Communicate,yutaka.yasumi,02/Aug/23 2:41 AM,09/Aug/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
23,CI-9040,491261,Verify,askarja,31/Jul/23 8:53 PM,07/Aug/23 12:00 AM,,Vaillant,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
24,CI-9039,491203,Import in Production,askarja,31/Jul/23 3:21 PM,07/Aug/23 12:00 AM,,Eberspacher,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
25,CI-9037,491162,Review,ahardell,31/Jul/23 2:22 PM,16/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
26,CI-9029,490834,Communicate,yutaka.yasumi,31/Jul/23 3:17 AM,03/Aug/23 12:00 AM,,Amadeus,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
27,CI-9027,490590,Import in Production,yutaka.yasumi,28/Jul/23 8:50 AM,11/Aug/23 12:00 AM,,Vaillant,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
28,CI-9026,490577,Verify,yutaka.yasumi,28/Jul/23 8:17 AM,08/Aug/23 12:00 AM,,Amadeus,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
29,CI-9022,490478,Verify,kuhnc,27/Jul/23 2:13 PM,04/Aug/23 12:00 AM,,OBB,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
30,CI-9014,490176,Communicate,kgostynska,26/Jul/23 1:11 PM,02/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
31,CI-9013,490172,Import to Customer Test System,nsanchezruiz,26/Jul/23 12:54 PM,02/Aug/23 12:00 AM,,OBB,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
32,CI-9005,489749,Configure,nsanchezruiz,25/Jul/23 9:46 AM,01/Aug/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
33,CI-8996,489505,Configure,kgostynska,24/Jul/23 9:27 AM,01/Aug/23 12:00 AM,,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
34,CI-8994,489493,Communicate,kgostynska,24/Jul/23 8:46 AM,01/Aug/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
35,CI-8993,489264,Verify,ssanz,21/Jul/23 2:18 PM,28/Jul/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
36,CI-8973,488242,Configure,askarja,17/Jul/23 12:53 PM,24/Jul/23 12:00 AM,,Burda,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
37,CI-8966,487772,Communicate,mmaciejczyk,13/Jul/23 3:26 PM,20/Jul/23 12:00 AM,,Nedschroef,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
38,CI-8952,487041,Communicate,agheorghe,11/Jul/23 12:27 PM,12/Jul/23 12:00 AM,,TotalEnergies,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
39,CI-8949,486647,Configure,nsanchezruiz,10/Jul/23 2:01 PM,17/Jul/23 12:00 AM,,OBB,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
40,CI-8942,486173,Verify,ssanz,07/Jul/23 12:38 PM,14/Jul/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
41,CI-8937,485918,Import in Production,mmaciejczyk,06/Jul/23 12:47 PM,13/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
42,CI-8936,485909,Import in Production,alejandro.ruizrobles,06/Jul/23 12:29 PM,13/Jul/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-3.csv,PI23.3-3
43,CI-8928,485756,Configure,askarja,05/Jul/23 8:32 PM,12/Jul/23 12:00 AM,,dm-drogerie markt,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
44,CI-8927,485750,Communicate,mmaciejczyk,05/Jul/23 6:41 PM,12/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
45,CI-8918,485165,Verify,mmaciejczyk,03/Jul/23 1:11 PM,10/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
46,CI-8910,484664,Verify,askarja,29/Jun/23 9:05 PM,27/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
47,CI-8909,484660,Verify,askarja,29/Jun/23 8:46 PM,07/Jul/23 12:00 AM,,Bentley,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
48,CI-8876,483789,Import to Customer Test System,askarja,26/Jun/23 11:46 PM,03/Jul/23 12:00 AM,,Heidelberg Cement,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
49,CI-8874,483783,Review,askarja,26/Jun/23 8:21 PM,03/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
50,CI-8846,483197,Configure,kgostynska,23/Jun/23 8:51 AM,10/Jul/23 12:00 AM,,LKW Walter,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
51,CI-8729,476852,Import to Customer Test System,mmaciejczyk,05/Jun/23 3:08 PM,12/Jun/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
52,CI-8679,474387,Configure,lsada,25/May/23 9:19 AM,01/Jun/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
53,CI-8672,474081,Import to Customer Test System,ssanz,23/May/23 3:45 PM,30/May/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
54,CI-8607,471146,Verify,mmaciejczyk,10/May/23 5:01 PM,17/May/23 12:00 AM,,Lufthansa City Center,Incident Request (IR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
55,CI-8600,470619,Communicate,kgostynska,09/May/23 2:19 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
56,CI-8599,470611,Communicate,kgostynska,09/May/23 2:05 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
57,CI-8567,468092,Configure,mmaciejczyk,26/Apr/23 1:16 PM,03/May/23 12:00 AM,,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
58,CI-8499,465411,Verify,nsanchezruiz,17/Apr/23 1:53 PM,24/Apr/23 12:00 AM,26/Jul/23 9:16 AM,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
59,CI-7858,435107,Review,ssanz,13/Dec/22 12:22 PM,20/Dec/22 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-3.csv,PI23.3-3
0,CI-8370,459864,Closed,ssanz,24/Mar/23 4:23 PM,31/Mar/23 12:00 AM,05/Apr/23 1:04 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
1,CI-8369,459796,Closed,kgostynska,24/Mar/23 3:03 PM,31/Mar/23 12:00 AM,04/May/23 11:31 AM,Rheinmetall,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
2,CI-8368,459754,Closed,ssanz,24/Mar/23 2:27 PM,31/Mar/23 12:00 AM,18/May/23 11:44 AM,Holtzbrink,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
3,CI-8367,459734,Closed,kgostynska,24/Mar/23 1:42 PM,31/Mar/23 12:00 AM,06/Jun/23 1:52 PM,OBB,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
4,CI-8366,459522,Closed,nsanchezruiz,24/Mar/23 9:41 AM,31/Mar/23 12:00 AM,05/Apr/23 8:40 AM,Customer not yet listed,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
5,CI-8365,459516,Closed,nsanchezruiz,24/Mar/23 9:30 AM,31/Mar/23 12:00 AM,05/Apr/23 8:41 AM,Customer not yet listed,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
6,CI-8364,459501,Closed,nsanchezruiz,24/Mar/23 8:41 AM,31/Mar/23 12:00 AM,04/Apr/23 9:24 AM,Customer not yet listed,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
7,CI-8361,459339,Closed,lsada,23/Mar/23 2:57 PM,06/Apr/23 12:00 AM,12/Jun/23 10:49 AM,Spiegel,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
8,CI-8360,459333,Closed,nsanchezruiz,23/Mar/23 2:52 PM,29/Mar/23 12:00 AM,05/Apr/23 9:39 AM,Customer not yet listed,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
9,CI-8359,459293,Closed,ssanz,23/Mar/23 1:59 PM,30/Mar/23 12:00 AM,01/Apr/23 4:22 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
10,CI-8358,459227,Closed,ssanz,23/Mar/23 11:55 AM,28/Mar/23 12:00 AM,25/Apr/23 3:54 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
11,CI-8354,458717,Closed,nsanchezruiz,22/Mar/23 11:13 AM,27/Mar/23 12:00 AM,25/Apr/23 9:58 AM,OBB,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
12,CI-8349,458448,Closed,yutaka.yasumi,22/Mar/23 2:59 AM,22/Mar/23 12:00 AM,03/Apr/23 12:41 AM,Endress Hauser,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
13,CI-8348,458444,Closed,yutaka.yasumi,22/Mar/23 1:22 AM,29/Mar/23 12:00 AM,19/Apr/23 2:54 PM,Vaillant,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
14,CI-8347,458433,Closed,askarja,21/Mar/23 7:58 PM,29/Mar/23 12:00 AM,13/Jun/23 5:27 PM,Deutschlandradio,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
15,CI-8346,458273,Closed,askarja,21/Mar/23 1:50 PM,28/Mar/23 12:00 AM,07/Apr/23 2:04 AM,Porsche,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
16,CI-8345,458258,Closed,nsanchezruiz,21/Mar/23 1:28 PM,27/Mar/23 12:00 AM,04/Apr/23 1:10 PM,Audi,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
17,CI-8344,458212,Closed,nsanchezruiz,21/Mar/23 12:57 PM,23/Mar/23 12:00 AM,03/Apr/23 10:29 AM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
18,CI-8339,457228,Closed,ssanz,17/Mar/23 4:51 PM,24/Mar/23 12:00 AM,19/May/23 8:37 AM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
19,CI-8338,457190,Closed,alejandro.ruizrobles,17/Mar/23 3:17 PM,21/Mar/23 12:00 AM,24/Apr/23 6:12 PM,Numiga,SR - Partner,DataSets\in_progress_PI6 IP.csv,PI6 IP
20,CI-8328,456902,Closed,nsanchezruiz,16/Mar/23 4:57 PM,23/Mar/23 12:00 AM,27/Apr/23 1:27 PM,msg systems,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
21,CI-8323,456691,Closed,pthuaud,16/Mar/23 12:11 PM,21/Mar/23 12:00 AM,16/May/23 1:19 PM,Amadeus,Project,DataSets\in_progress_PI6 IP.csv,PI6 IP
22,CI-8322,456676,Closed,yutaka.yasumi,16/Mar/23 11:59 AM,23/Mar/23 12:00 AM,03/Apr/23 12:42 AM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
23,CI-8321,456627,Closed,yutaka.yasumi,16/Mar/23 11:21 AM,20/Mar/23 12:00 AM,29/Mar/23 4:29 PM,Lufthansa City Center,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
24,CI-8318,456512,Closed,yutaka.yasumi,16/Mar/23 1:31 AM,20/Mar/23 12:00 AM,19/Apr/23 2:53 PM,Amadeus,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
25,CI-8316,456446,Closed,ssanz,15/Mar/23 4:46 PM,22/Mar/23 12:00 AM,14/Apr/23 12:32 PM,Allianz,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
26,CI-8315,456393,Closed,jbonnavion,15/Mar/23 3:03 PM,22/Mar/23 12:00 AM,13/Apr/23 2:22 PM,DERPART,SR - Partner,DataSets\in_progress_PI6 IP.csv,PI6 IP
27,CI-8312,456181,Closed,alejandro.ruizrobles,15/Mar/23 9:51 AM,22/Mar/23 12:00 AM,29/Mar/23 3:51 PM,Numiga,SR - Partner,DataSets\in_progress_PI6 IP.csv,PI6 IP
28,CI-8303,455701,Closed,kgostynska,14/Mar/23 9:47 AM,21/Mar/23 12:00 AM,08/May/23 8:18 AM,LKW Walter,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
29,CI-8302,455636,Closed,yutaka.yasumi,14/Mar/23 7:30 AM,21/Mar/23 12:00 AM,15/May/23 10:59 AM,Vaillant,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
30,CI-8294,454905,Communicate,mmaciejczyk,10/Mar/23 11:19 AM,17/Mar/23 12:00 AM,,VW,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
31,CI-8289,454808,Closed,yutaka.yasumi,10/Mar/23 7:21 AM,13/Mar/23 12:00 AM,03/Apr/23 1:18 AM,Ineos,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
32,CI-8286,454791,Closed,yutaka.yasumi,10/Mar/23 1:33 AM,17/Mar/23 12:00 AM,15/May/23 5:50 AM,Continental,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
33,CI-8285,454741,Closed,nsanchezruiz,09/Mar/23 4:25 PM,20/Mar/23 12:00 AM,21/Apr/23 9:12 AM,DER,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
34,CI-8283,454650,Closed,nsanchezruiz,09/Mar/23 2:15 PM,23/Mar/23 12:00 AM,04/Apr/23 3:26 PM,Porsche,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
35,CI-8279,454369,Closed,mmaciejczyk,08/Mar/23 6:04 PM,15/Mar/23 12:00 AM,30/Mar/23 3:22 PM,Lufthansa City Center,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
36,CI-8277,454229,Closed,ssanz,08/Mar/23 3:09 PM,15/Mar/23 12:00 AM,18/Apr/23 2:15 PM,TUI AG,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
37,CI-8273,453848,Closed,ssanz,07/Mar/23 1:31 PM,08/Mar/23 12:00 AM,10/Apr/23 10:50 AM,Allianz,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
38,CI-8270,453483,Closed,ssanz,06/Mar/23 1:40 PM,13/Mar/23 12:00 AM,08/May/23 11:49 AM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
39,CI-8269,453481,Closed,ssanz,06/Mar/23 1:36 PM,13/Mar/23 12:00 AM,08/May/23 11:48 AM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
40,CI-8261,453139,Closed,yutaka.yasumi,06/Mar/23 1:37 AM,13/Mar/23 12:00 AM,05/Apr/23 6:52 AM,Spiegel,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
41,CI-8254,452951,Closed,ssanz,03/Mar/23 1:15 PM,10/Mar/23 12:00 AM,05/May/23 7:12 PM,Allianz,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
42,CI-8249,452780,Closed,yutaka.yasumi,03/Mar/23 2:44 AM,17/Mar/23 12:00 AM,05/Apr/23 9:30 AM,CEPSA,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
43,CI-8242,452464,Closed,yutaka.yasumi,02/Mar/23 1:04 AM,09/Mar/23 12:00 AM,06/Apr/23 4:26 PM,Burda,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
44,CI-8239,452166,Closed,yutaka.yasumi,01/Mar/23 2:16 AM,06/Mar/23 12:00 AM,29/Mar/23 9:54 AM,Endress Hauser,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
45,CI-8238,452000,Closed,nsanchezruiz,28/Feb/23 1:28 PM,31/Mar/23 12:00 AM,12/Jun/23 2:50 PM,Fiege,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
46,CI-8236,451837,Closed,yutaka.yasumi,28/Feb/23 12:45 AM,07/Mar/23 12:00 AM,13/Apr/23 4:29 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
47,CI-8219,450562,Communicate,kgostynska,22/Feb/23 1:28 PM,01/Mar/23 12:00 AM,,Amadeus,Incident Request (IR),DataSets\in_progress_PI6 IP.csv,PI6 IP
48,CI-8190,449259,Closed,askarja,17/Feb/23 2:48 PM,24/Feb/23 12:00 AM,05/Apr/23 12:08 PM,Eberspacher,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
49,CI-8185,449035,Closed,yutaka.yasumi,17/Feb/23 9:59 AM,20/Feb/23 12:00 AM,04/Apr/23 3:22 PM,Munckhof,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
50,CI-8184,448971,Closed,yutaka.yasumi,17/Feb/23 1:56 AM,24/Feb/23 12:00 AM,04/Apr/23 4:33 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
51,CI-8177,448686,Verify,ssanz,15/Feb/23 4:35 PM,22/Feb/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
52,CI-8176,448625,Closed,ssanz,15/Feb/23 3:47 PM,22/Feb/23 12:00 AM,14/Apr/23 1:31 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
53,CI-8164,448243,Communicate,achattopadhyay,14/Feb/23 1:51 PM,21/Feb/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
54,CI-8159,447939,Closed,wkatthan,13/Feb/23 12:19 PM,16/Feb/23 12:00 AM,24/Apr/23 12:53 PM,ArcelorMittal,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
55,CI-8144,447479,Closed,nsanchezruiz,09/Feb/23 3:29 PM,20/Feb/23 12:00 AM,29/Apr/23 4:07 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
56,CI-8134,446994,Closed,ccasper,08/Feb/23 10:09 AM,24/Feb/23 12:00 AM,19/Apr/23 3:11 PM,TUI AG,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
57,CI-8118,446512,Closed,askarja,06/Feb/23 8:05 PM,13/Feb/23 12:00 AM,19/Apr/23 1:24 AM,TeamBank AG,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
58,CI-8093,445763,Closed,alejandro.ruizrobles,02/Feb/23 8:59 AM,09/Feb/23 12:00 AM,08/Jun/23 3:06 PM,Numiga,SR - Partner,DataSets\in_progress_PI6 IP.csv,PI6 IP
59,CI-8048,443357,Closed,nsanchezruiz,24/Jan/23 1:34 PM,06/Feb/23 12:00 AM,03/Apr/23 3:44 PM,msg systems,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
60,CI-8006,441299,Closed,yutaka.yasumi,13/Jan/23 7:58 AM,17/Jan/23 12:00 AM,04/Apr/23 4:32 PM,Porsche,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
61,CI-7904,437478,Verify,ssanz,20/Dec/22 5:24 PM,26/Dec/22 12:00 AM,,Bentley,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
62,CI-7900,437096,Closed,ssanz,19/Dec/22 3:44 PM,26/Dec/22 12:00 AM,05/Apr/23 1:07 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
63,CI-7858,435107,Verify,ssanz,13/Dec/22 12:22 PM,20/Dec/22 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
64,CI-7829,433155,Closed,ssanz,06/Dec/22 1:18 PM,13/Dec/22 12:00 AM,29/Apr/23 4:15 PM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
65,CI-7788,431813,Closed,yutaka.yasumi,01/Dec/22 1:54 AM,08/Dec/22 12:00 AM,05/Apr/23 6:54 AM,Amadeus,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
66,CI-7700,428349,Closed,alejandro.ruizrobles,15/Nov/22 4:39 PM,22/Nov/22 12:00 AM,12/Apr/23 1:53 PM,Numiga,SR - Partner,DataSets\in_progress_PI6 IP.csv,PI6 IP
67,CI-7688,427631,Closed,askarja,11/Nov/22 3:58 PM,21/Nov/22 12:00 AM,20/Apr/23 10:15 AM,Rheinmetall,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
68,CI-7550,420892,Closed,yutaka.yasumi,12/Oct/22 5:05 PM,19/Oct/22 12:00 AM,04/Apr/23 4:34 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
69,CI-7486,418256,Closed,yutaka.yasumi,03/Oct/22 6:41 AM,10/Oct/22 12:00 AM,31/Mar/23 2:37 AM,Continental,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
70,CI-7253,408597,Explain,ssanz,16/Aug/22 2:54 PM,09/Dec/22 12:00 AM,,OBB,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
71,CI-7205,406532,Closed,nsanchezruiz,04/Aug/22 11:54 AM,02/May/23 12:00 AM,10/Apr/23 8:47 AM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
72,CI-5953,349721,Closed,hwiedenroth,05/Nov/21 5:04 PM,03/Dec/21 12:00 AM,11/Apr/23 9:04 AM,Allianz,Service Request (SR),DataSets\in_progress_PI6 IP.csv,PI6 IP
0,CI-7970,439508,Closed,yutaka.yasumi,06/Jan/23 4:38 AM,13/Jan/23 12:00 AM,10/Feb/23 7:13 AM,Amadeus,Incident Request (IR),DataSets\in_progress_PI6.1.csv,PI6.1
1,CI-7969,439500,Closed,yutaka.yasumi,06/Jan/23 1:44 AM,13/Jan/23 12:00 AM,30/Jan/23 2:46 AM,Eberspacher,Service Request (SR),DataSets\in_progress_PI6.1.csv,PI6.1
