Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Created from Investigation Task),Inward issue link (Created from Investigation Task),Inward issue link (Duplicate),Inward issue link (Feature - LPM Epic),Outward issue link (Feature - LPM Epic),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Affected Products),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (CustomLogic),Custom field (Customer/s),Custom field (Customer/s),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Numiga Hensoldt - Change timeout for approval workflow,CI-7415,414517,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,aruizrobles,aruizrobles,9/15/2022 10:03,9/22/2022 17:52,12/5/2022 15:24,9/22/2022 17:52,9/22/2022 0:00,0,FridaySweep,Partners,,,"System: bcdtravel-de-hensoldt

Hello team,

Please, change the timeout for the approval workflow for the *Hensoldt Sensors GmbH* location. Instead of 7 days, *it should be 14 days* for the first approver and second approver.

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9/15/2022 0:00,,2-16510178893,,,Committed,,Configure,,Numiga,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzk,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; mega
System: bcdtravel-de-hensoldt
Location: Hensoldt Sensors GmbH",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD / System Setup for Vegas ,CI-7414,414513,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,mueller,mueller,9/15/2022 9:56,11/18/2022 14:21,12/5/2022 15:24,11/4/2022 8:01,10/28/2022 0:00,0,PI5,,,,Please start with the Vegas Setup according to the attached files! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Sep/22 9:53 AM;mueller;ARD_ERS_08092022.xlsx;https://jira.ifao.net/secure/attachment/165038/ARD_ERS_08092022.xlsx,15/Sep/22 9:56 AM;mueller;BR-ARD-RGB_Kundenlogo.png;https://jira.ifao.net/secure/attachment/165037/BR-ARD-RGB_Kundenlogo.png,15/Sep/22 9:56 AM;mueller;Deutsche_Welle-ARD-RGB_Kundenlogo.png;https://jira.ifao.net/secure/attachment/165036/Deutsche_Welle-ARD-RGB_Kundenlogo.png,15/Sep/22 9:56 AM;mueller;hr-ARD-RGB_Kundenlogo.png;https://jira.ifao.net/secure/attachment/165035/hr-ARD-RGB_Kundenlogo.png,15/Sep/22 9:56 AM;mueller;rbb-ARD-RGB_Kundenlogo.png;https://jira.ifao.net/secure/attachment/165034/rbb-ARD-RGB_Kundenlogo.png,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,TRUE,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzxe,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,https://staging.cytric.net/ama-de-ard-staging,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaillant AT : UAT fixes,CI-7413,414502,Expense Delivery,Communicate,CI,codebusters,software,rohkamm,,,,,achattopadhyay,achattopadhyay,9/15/2022 9:47,9/29/2022 14:42,12/5/2022 15:24,,9/20/2022 0:00,0,,,,,"* Please update GL account 7741000 to 77490000 for Mileage 
* Add FDF Collective Agreement at the header lvl of the PDF
",,achattopadhyay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Sep/22 11:12 AM;achattopadhyay;screenshot-1.png;https://jira.ifao.net/secure/attachment/166531/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,9/15/2022 0:00,,,,,Committed,,Configure,,Vaillant,,,,57:31.7,,,Aviroop CHATTOPADHYAY,,Communicate / New,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzii,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"amademea : ama-de-vaillant
AT",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@51fdebe8,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,19/Sep/22 11:57 AM;fkazmierczak;Implemented with CI-7411.;;;,"29/Sep/22 11:12 AM;achattopadhyay;Additional change needed. 

Customer wants the FDF Collective Agreement to be printed in the PDF (header level). 

 !screenshot-1.png|thumbnail! ;;;","29/Sep/22 2:42 PM;fkazmierczak;Hello, the requested change was deployed - it is done on the ""country"", hence Bali, Prod and test locations in Prod share the same configuration. Tested in Bali and works as expected ;);;;",,,,,,,,,,,,,,,,,,,,,,,,
Vaillant AT : Postal code ,CI-7412,414496,Expense Delivery,Communicate,CI,codebusters,software,rohkamm,,,,,achattopadhyay,achattopadhyay,9/15/2022 9:40,9/21/2022 12:09,12/5/2022 15:24,,9/20/2022 0:00,0,,,,,"Postal Code validation for travelling of employees at destination of occupation.

"" We decided, that we do not need a logic to validate the postal codes of destination against the one, stored in the traveller profile This is to reduce the number of absence lines, e.g. when travelling to multiple stops in a day. 

The FDF Postal Code will remain in the GUI though, but the entry will only be a text based entry. The values of this FDF need to be imprinted on the PDF for auditing purpose.


Please remove the validation, and add/print the values of the FDF Postal code in the PDF. 

P.S. : Please add as much space as possible as there will be more than 1 Postal code in several cases. 
",,achattopadhyay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,9/15/2022 0:00,,,,,Committed,,Configure,,Vaillant,,,,,,,Aviroop CHATTOPADHYAY,,Communicate / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzig,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"amademea : ama-de-vaillant
AT",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@ab0795f5,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaillant AT : Add new receipt,CI-7411,414491,Expense Delivery,Communicate,CI,codebusters,software,rohkamm,,,,,achattopadhyay,achattopadhyay,9/15/2022 9:33,9/19/2022 11:58,12/5/2022 15:24,,9/20/2022 0:00,0,,,,,"Add new receipt :

Car - electr. charging      60304500  optional VAT rate V2, default VAT rate - V0 (deductible)

 !image-2022-09-15-09-32-00-695.png|thumbnail! ",,achattopadhyay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Sep/22 9:32 AM;achattopadhyay;image-2022-09-15-09-32-00-695.png;https://jira.ifao.net/secure/attachment/165027/image-2022-09-15-09-32-00-695.png,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,9/15/2022 0:00,,,,,Committed,,Configure,,Vaillant,,,,,,,Aviroop CHATTOPADHYAY,,Communicate / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzie,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"amademea : ama-de-vaillant
AT",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@81acc5f7,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaillant AT : PDF meal adjustments,CI-7410,414487,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,achattopadhyay,achattopadhyay,9/15/2022 9:30,11/18/2022 17:00,12/5/2022 15:24,11/18/2022 17:00,9/20/2022 0:00,0,,,,,"By default, meals only appear in the PDF for AT if all 3 meals have been selected along with the deduction. However, meals don't appear in the PDF otherwise. 

Please adjust the PDF jrxml to make the meals appear for all use cases. 

Ex: If user selects breakfast, meal should appear. 
If user selects brekfast and lunch, both meals should appear in the PDF. ",,ebert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9/15/2022 0:00,,,,,Committed,,Configure,,Vaillant,,,,08:10.7,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzx5q5,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"amademea : ama-de-vaillant
AT",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"15/Sep/22 12:08 PM;fkazmierczak;Hello [~achattopadhyay],

unfortunately, it is not possible. According to Marius Hilbich from the Engine Team:
""At this point I would discourage any customizations of the old report since the report template will be finished soon.
The report template will display all meals in the first iteration (exactly as you request) but will not be able to group meals like it is done in austria.""

Please close the ticket.

KR

Filip Kazmierczak;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche - ITE-1142 no unsettled trip notification email is sent,CI-7409,414401,Expense Delivery,Communicate,CI,codebusters,software,rohkamm,,,,,skarja,skarja,9/15/2022 3:13,9/22/2022 11:36,12/5/2022 15:24,,9/22/2022 0:00,0,,,,,"Dear colleagues,

traveler does not receive the unsettled trip notification email after every 7 days.
The root cause was investigated and found with https://jira.ifao.net/browse/ITE-1142:


 * Prefix ""DE-"" is missing in the location name of:

DE - Dr. Ing. h.c. F. Porsche AG, Stuttgart



{color:#de350b}*Please adjust it analogous to* {color}*{color:#de350b}*d*etailed description of Martin Rohkamm below:{color}*

 

+*Solution:*+

Fix the location names in the set up Quartz Jobs in the Jobs application (add the ""DE -"")

!image-2022-09-15-03-13-34-110.png|width=773,height=539!",,skarja,,,,,,,,,,,,,,,,,,,,,,,,ITE-1142,,,,,,,,,15/Sep/22 3:13 AM;skarja;image-2022-09-15-03-13-34-110.png;https://jira.ifao.net/secure/attachment/164997/image-2022-09-15-03-13-34-110.png,22/Sep/22 11:35 AM;mstaszek;image-2022-09-22-11-35-46-468.png;https://jira.ifao.net/secure/attachment/165833/image-2022-09-22-11-35-46-468.png,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,9/2/2022 0:00,,2-16454899463,,,Committed,,Configure,,Porsche,,,,35:55.4,,,Annette SKARJA,,Communicate / New,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@2d1c2f43,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzia,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: Travel

URL: https://travel.cytric.net/ibe?system=Porsche

System: Porsche

Location: DE - Dr. Ing. h.c. F. Porsche AG, Stuttgart",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@de7c9eeb,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"22/Sep/22 11:35 AM;mstaszek;Hello [~skarja] :)

Job created

!image-2022-09-22-11-35-46-468.png!

 

Thank you!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Numiga Duravit - Change VAT mapping,CI-7408,414387,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,aruizrobles,aruizrobles,9/14/2022 17:44,9/23/2022 9:19,12/5/2022 15:24,9/23/2022 9:19,9/20/2022 0:00,0,Partners,,,,"System: ama-par-numiga-duravit

Hello team,

Please, change the VAT mapping for the following receipts:

+Gifts above 35 EUR (DE: Geschenke über 35 EUR)+
 * Default: none
 * Available: none

+Other taxable (home trips), travel expenses of strangers (DE: Sonstiges steuerpflichtig (Heimreisen), Reisekosten Fremde)+
 * Default: none
 * Available: none, reduced, regular

+Taxable (partner), hotel + breakfast strangers (DE: Sonstiges steuerpflichtig (Partner), Hotel + Frühstück Fremde)+
 * Default: none
 * Available: none, reduced, regular

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9/14/2022 0:00,,2-16469952313,,,Committed,,Configure,,Numiga,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzi8,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; Amadeus2
System: ama-par-numiga-duravit
Locations: all",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD / custom logic to display the criteria of a CW in an FDF for Approver and Auditor ,CI-7407,414378,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,mueller,mueller,9/14/2022 16:38,11/20/2022 12:38,12/5/2022 15:24,,2/28/2023 0:00,0,,,,,"We got the following request from ARD and this one is flagged in the RFP as mandatory latest for the planned Go Live in January 2024 but better to have it at the end of the UAT, planned for 28.02.2023!

1. When the traveler submits a statement then the Approver and the Auditor should see in an FDF (read only), why they received this statement via the Conditional Workflow.

2. In this FDF should be a dropdown with all the criteria we have defined for the Conditional Workflow for the Approver and Auditor and this criteria or severals ones should then be displayed. The wish from ARD is to have all criteria in the FDF and not only one. 

Actually we have defined 10 criteria for the Audtitor when an statement has to be checked and 7 criteria for the Approver. 

I have alreay discussed this with Mircea and from him comes this proposal with the FDF, so please get in contact with him if you need more information!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXM-953,EXM-337,,,,,20/Nov/22 12:38 PM;mueller;Conditional Workflow ARD.xlsx;https://jira.ifao.net/secure/attachment/173142/Conditional+Workflow+ARD.xlsx,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,08:25.4,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@caa95b20,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzx5q4,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"https://staging.cytric.net/ama-de-ard-staging
",,2 - Serious,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@f0e1f44c,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,"21/Sep/22 4:08 PM;griehser;Following CL Board of 21/09/2022:
 * Requirement accepted
 * Enabling such functionality doesn't impact the accounting files interface with SAP, hence only the conditional workflow (+*without*+ the display of the conditions why a step was skipped in the UI) will be implemented by end of February.
 * In terms of developments:
 ** EXM-337 is a pre-requisite to enable the display of the message from the conditional workflow as a non-blocking error message
 ** EXM-953 is the feature to return the message from the conditional workflow into the UI

cc: [~gheorghe] , [~salajan];;;","21/Sep/22 4:11 PM;salajan;[~mueller], so that Codebusters team can proceed with the implementation of the conditional workflow, please add all conditions here. Then this will be planned with the due date set for end of FEB23;;;","25/Sep/22 1:29 PM;mueller;Thanks [~salajan]
The conditions are currently still being discussed on ARD side and finalized for the Approver and for the Auditor.
As soon as they are finally available to me, i will add them here in the CI! ;;;","20/Nov/22 12:37 PM;mueller;[~salajan] please find attached the conditions for the ARD Conditional Workflow.
The conditions were finally approved by ARD on November 18th 2022.;;;",,,,,,,,,,,,,,,,,,,,,,,
Investigate org.graalvm.polyglot.PolyglotException in the ama-es-Amadeus system on Production,CI-7406,414264,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,tsteinhaeuser,tsteinhaeuser,9/14/2022 10:22,11/24/2022 12:16,12/5/2022 15:24,11/4/2022 13:59,9/30/2022 0:00,0,concluded,,,,"Hello Codebusters,

when I checked our engine logs on kibana prod I noticed the occurrence of multiple rg.graalvm.polyglot.PolyglotException in the *ama-es-Amadeus* system.

As it looks like, the cause of the exception stems from a faulty initialization of a BigDecimal object in a script.

 Please investigate further and fix the error.
 * *System:* ama-es-Amadeus (ID: 220179933)****

 ** *Location:* CO - Amadeus IT Group Colombia S.A.S. (ID: 1064755312)
 ** *Phase:*  postingRecordGeneration
 ** *Subactor:* net.ifao.expense.logic.customSubActors.CustomScriptSubActor
 ** *Correlation IDs:*
 *** 792216CF340840B8A76FAAFC03191D8F
 *** 9EB82AA34C094AADB74F1161B5A30418
 *** 
7413320EFA384610BAADD78BD56DD8C8
 ** *Kibana logs:*
 *** [https://es.secure.ifao.net/s/ee/app/kibana#/doc/3afe1f90-e0e8-11ec-b748-a7b709a9fb27/ee.1-2022.37/doc?id=m74vNIMBpJTDrDIddlRu]
 *** [https://es.secure.ifao.net/s/ee/app/kibana#/doc/3afe1f90-e0e8-11ec-b748-a7b709a9fb27/ee.1-2022.37/doc?id=7QIXNIMBtNwRl3q3s6Kk]
 *** https://es.secure.ifao.net/s/ee/app/kibana#/doc/3afe1f90-e0e8-11ec-b748-a7b709a9fb27/ee.1-2022.37/doc?id=LAISNIMBtNwRl3q3QXTp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,Committed,,Configure,,Expense Development,,,,59:53.5,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzi4,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"21/Sep/22 1:59 PM;mstaszek;KIBANA not available, I will change due date to 30.09;;;","10/Oct/22 12:26 PM;gmalarski;Lessons Learned

 

*Problem Description:*

Multiple occurance of  rg.graalvm.polyglot.PolyglotException in the *ama-es-Amadeus* system.

 

*Solution:*

Log debug added to each big decimal usage, in order to check what is exactly the root cause of the exception, when the exception appears again.

 

*Obstacles:*

Cannot reproduce on bail, so there was no possibility to investigate it precisely 

 

*For the Future:*

We need more data on how to reproduce the issue, maybe additional info from the engine team, some indicator should be created which will allow finding an exact line in the code where the problem occurred.;;;","14/Oct/22 11:52 AM;hilbich;You can check the statement logs with the correlation id and see that the error occurs in phase posting record generation and hook ExpenseData.
The stack trace shows that the error occurred in the BigDecimal class which can be identified to be a nullpointer in the constructor.
Based on that the error it has to be this line:
https://repository.secure.ifao.net:7443/projects/EXP/repos/engine-configs/browse/CalculationConfiguration/ama-es-amadeus/co/default/20170101-20220704/customlogic.properties.xml#236
The calculation setting was most likely null or not a number.
It is very unsecure to load a calculation setting based on another FDFs value and expect it to be always available.;;;","26/Oct/22 11:07 AM;gmalarski;Hello [~hilbich] and [~tsteinhaeuser]  ,

I have added a null check for the line you had emphasize.;;;",,,,,,,,,,,,,,,,,,,,,,,
